datetime,code,open,close,high,low,vol,amount
2017-11-23,300024,19.80,19.24,19.92,19.22,117292.0,229854112.0
2017-11-22,300024,19.92,19.96,20.19,19.84,108736.0,217373712.0
2017-11-21,300024,19.68,20.00,20.10,19.56,117525.0,233120720.0
2017-11-20,300024,19.36,19.71,19.74,19.10,101046.0,196385952.0
2017-11-17,300024,20.35,19.38,20.46,19.28,220610.0,435975360.0
2017-11-16,300024,20.21,20.32,20.67,20.21,95097.0,194627072.0
2017-11-15,300024,21.00,20.30,21.00,20.21,159648.0,327933312.0
2017-11-14,300024,21.30,21.04,21.35,20.99,138681.0,293187200.0
2017-11-13,300024,20.72,21.23,21.39,20.72,203032.0,429887968.0
2017-11-10,300024,20.97,20.89,21.13,20.84,89454.0,187305280.0
2017-11-09,300024,20.85,20.98,21.14,20.73,135989.0,284997472.0
2017-11-08,300024,20.84,20.75,20.92,20.69,128713.0,267882992.0
2017-11-07,300024,20.63,20.80,20.93,20.50,120598.0,250243808.0
2017-11-06,300024,20.22,20.76,20.82,20.18,139829.0,287126816.0
2017-11-03,300024,20.11,20.16,20.37,20.01,90140.0,181703328.0
2017-11-02,300024,20.46,20.17,20.46,20.01,125276.0,252906192.0
2017-11-01,300024,20.80,20.48,20.85,20.46,141916.0,292667328.0
2017-10-31,300024,20.47,20.71,20.83,20.47,90327.0,186937280.0
2017-10-30,300024,21.40,20.51,21.40,20.44,223817.0,465032224.0
2017-10-27,300024,22.07,21.50,22.25,21.50,188273.0,411214976.0
2017-10-26,300024,21.83,22.10,22.26,21.76,199637.0,440581760.0
2017-10-25,300024,21.89,21.93,22.06,21.51,127354.0,278217952.0
2017-10-24,300024,22.00,21.90,22.11,21.56,122694.0,268123200.0
2017-10-23,300024,21.89,22.19,22.42,21.89,167224.0,370529824.0
2017-10-20,300024,21.57,21.89,21.89,21.40,113211.0,245770160.0
2017-10-19,300024,21.46,21.60,21.99,21.33,150008.0,325232352.0
2017-10-18,300024,21.62,21.46,21.89,21.44,118513.0,256910208.0
2017-10-17,300024,22.11,21.72,22.13,21.62,155669.0,339831456.0
2017-10-16,300024,22.40,22.15,22.78,22.00,209659.0,468311840.0
2017-10-13,300024,22.42,22.42,22.47,22.04,179414.0,398737344.0
2017-10-12,300024,22.25,22.58,23.15,22.25,379514.0,864513536.0
2017-10-11,300024,22.42,22.29,22.55,22.00,186002.0,413892896.0
2017-10-10,300024,22.12,22.43,22.43,21.98,227949.0,506946976.0
2017-10-09,300024,21.65,22.10,22.15,21.53,234216.0,512983232.0
2017-09-29,300024,21.28,21.32,21.54,21.26,82855.0,177119552.0
2017-09-28,300024,21.50,21.29,21.65,21.25,101868.0,218123856.0
2017-09-27,300024,21.15,21.51,21.63,21.10,122189.0,261885056.0
2017-09-26,300024,21.18,21.17,21.34,20.95,69110.0,146284912.0
2017-09-25,300024,21.25,21.19,21.48,21.11,91672.0,195358752.0
2017-09-22,300024,21.38,21.21,21.38,21.10,105171.0,223090960.0
2017-09-21,300024,21.61,21.50,21.94,21.50,145823.0,316911424.0
2017-09-20,300024,21.20,21.55,21.59,21.10,105284.0,225074272.0
2017-09-19,300024,21.50,21.24,21.70,21.22,118952.0,255943744.0
2017-09-18,300024,21.38,21.47,21.63,21.36,97739.0,209979936.0
2017-09-15,300024,21.68,21.38,21.72,21.25,144795.0,310611264.0
2017-09-14,300024,21.73,21.73,21.93,21.63,120471.0,262106208.0
2017-09-13,300024,22.03,21.73,22.12,21.58,191646.0,417307904.0
2017-09-12,300024,22.49,22.13,22.50,22.10,176214.0,392031360.0
2017-09-11,300024,22.10,22.48,22.50,22.00,170673.0,380459840.0
2017-09-08,300024,22.04,22.12,22.25,21.88,140114.0,309267840.0
2017-09-07,300024,22.35,22.04,22.68,22.00,218276.0,487645920.0
2017-09-06,300024,22.49,22.36,22.49,22.10,229284.0,510863296.0
2017-09-05,300024,22.85,22.56,23.12,22.50,255603.0,582108416.0
2017-09-04,300024,22.50,22.85,23.04,22.23,357824.0,813758400.0
2017-09-01,300024,22.50,22.46,22.66,22.10,308298.0,689891136.0
2017-08-31,300024,21.88,22.40,22.55,21.85,269172.0,598930752.0
2017-08-30,300024,21.64,21.98,22.32,21.53,264171.0,581908288.0
2017-08-29,300024,21.90,21.64,22.15,21.54,201156.0,437768672.0
2017-08-28,300024,21.81,21.83,22.55,21.81,395690.0,877615680.0
2017-08-25,300024,21.46,21.67,21.89,21.37,204456.0,442499232.0
2017-08-24,300024,21.85,21.48,22.06,21.39,247799.0,538183104.0
2017-08-23,300024,21.86,22.07,22.36,21.66,319901.0,704564608.0
2017-08-22,300024,22.37,21.82,22.77,21.62,454370.0,1006152704.0
2017-08-21,300024,22.40,22.52,22.77,22.30,454129.0,1023168768.0
2017-08-18,300024,22.50,22.29,22.69,22.10,517931.0,1160810624.0
2017-08-17,300024,20.90,22.77,23.17,20.82,1044707.0,2344281344.0
2017-08-16,300024,20.54,21.06,21.20,20.36,366917.0,767360768.0
2017-08-15,300024,20.89,20.62,20.98,20.39,227891.0,469181056.0
2017-08-14,300024,20.10,20.84,20.89,20.10,286974.0,593091712.0
2017-08-11,300024,20.10,20.09,20.67,20.04,207199.0,421688032.0
2017-08-10,300024,20.49,20.28,20.85,20.13,193090.0,394724704.0
2017-08-09,300024,20.61,20.55,21.07,20.42,253306.0,524147200.0
2017-08-08,300024,19.90,20.74,20.80,19.80,342910.0,697411776.0
2017-08-07,300024,19.78,19.94,20.27,19.73,156369.0,313749952.0
